Route,Day,Location,Incident,Min Gap,Date_,Month,Hour
45,Sunday,KIPLING AND KIDRON VAL,Mechanical,20,2024-07-28,7,18
116,Monday,KENNEDY STATION,Operations - Operator,16,2024-09-09,9,5
935,Wednesday,PIONEER VILLAGE STATIO,Mechanical,32,2024-01-03,1,11
84,Friday,ELMHURST AND YONGE,Mechanical,17,2024-04-12,4,10
927,Tuesday,STEELES AND MARTIN GRO,Mechanical,20,2024-06-18,6,15
924,Wednesday,VICTORIA PARK AND ST C,Utilized Off Route,20,2024-09-18,9,16
44,Monday,KIPLING STATION,Utilized Off Route,14,2024-03-25,3,19
996,Monday,WILSON AND TRANSIT,Emergency Services,25,2024-04-15,4,12
98,Wednesday,SHEPPARD-YONGE STATION,Diversion,50,2024-02-07,2,11
108,Saturday,GRANDRAVINE AND SENTIN,Mechanical,40,2024-06-22,6,13
20,Saturday,MIDLAND AND PARK,Mechanical,42,2024-08-31,8,5
960,Saturday,STEELES AND TANGREEN C,Collision - TTC,20,2024-05-25,5,11
25,Thursday,PAPE STATION,Utilized Off Route,26,2024-02-29,2,21
75,Tuesday,BLOOR AND SHERBOURNE,Mechanical,12,2024-02-06,2,9
67,Thursday,EGLINTON AND HAKIM AVE,Collision - TTC,30,2024-03-28,3,11
40,Thursday,DUNDAS WEST STATION,Security,24,2024-05-30,5,10
903,Wednesday,SCARBOROUGH CENTRE STA,Mechanical,32,2024-08-28,8,11
38,Friday,ELLESMERE AND MARKHAM,Operations - Operator,20,2024-03-08,3,13
995,Wednesday,UNIVERSITY OF TORONTO,Mechanical,20,2024-05-15,5,18
60,Monday,STEELES AND DUFFERIN,Operations - Operator,16,2024-06-17,6,17
43,Saturday,KENNEDY AND FINCH,Road Blocked - NON-TTC Collision,20,2024-03-09,3,16
939,Sunday,BOROUGH AND TRITON,Vision,20,2024-09-01,9,10
41,Monday,KEELE AND MAPLE LEAF,Mechanical,30,2024-02-19,2,14
54,Saturday,LAWRENCE AND DON MILLS,Vision,28,2024-08-31,8,15
63,Friday,OSSINGTON STATION,Operations - Operator,10,2024-02-23,2,19
45,Tuesday,CARLINGVIEW AND ATTWEL,Cleaning - Unsanitary,20,2024-07-23,7,7
63,Saturday,OSSINGTON AND DUNDAS,Mechanical,14,2024-07-06,7,14
81,Wednesday,PAPE AND CANNING,Collision - TTC,20,2024-02-28,2,16
903,Wednesday,KENNEDY STATION,Cleaning - Unsanitary,16,2024-05-08,5,6
22,Saturday,EASTERN AND QUEEN,Security,16,2024-05-18,5,14
94,Monday,PARLIAMENT AND WELLESL,Security,40,2024-09-23,9,15
19,Sunday,YONGE AND COLBORNE,Collision - TTC,44,2024-09-01,9,14
32,Thursday,EGLINTON STATION,Operations - Operator,20,2024-09-05,9,15
12,Friday,BIRCHMOUNT AND KINGSTO,Collision - TTC,32,2024-09-27,9,6
38,Sunday,KENNEDY STATION,Utilized Off Route,30,2024-06-23,6,14
116,Monday,MORNINGSIDE AND LAWREN,Operations - Operator,16,2024-09-02,9,11
17,Friday,AVENUE AND ST. GERMAIN,Vision,24,2024-06-07,6,16
130,Monday,MILNER AND MARKHAM,Emergency Services,50,2024-03-04,3,11
24,Friday,VICTORIA PARK AND CRES,Operations - Operator,20,2024-05-10,5,21
996,Wednesday,WILSON AND JANE,Operations - Operator,23,2024-07-03,7,14
32,Friday,RENFORTH STATION,Mechanical,24,2024-01-19,1,13
48,Tuesday,MILL AND RATHBURN,Mechanical,56,2024-05-14,5,15
36,Saturday,FINCH AND WESTON,Mechanical,10,2024-07-13,7,17
12,Sunday,OLD MILL STATION,General Delay,15,2024-09-29,9,7
11,Friday,SUNNYBROOK HOSPITAL,Operations - Operator,20,2024-08-09,8,7
106,Wednesday,SHEPPARD AND KEELE (EA,Collision - TTC,50,2024-04-17,4,9
45,Sunday,KIPLING STATION,Operations - Operator,20,2024-09-29,9,17
929,Thursday,DUFFERIN AND QUEEN,Mechanical,8,2024-03-28,3,14
24,Monday,VICTORIA PARK AND ARNC,Security,42,2024-04-29,4,9
71,Friday,RUNNYMEDE STATION,Utilized Off Route,20,2024-04-19,4,18
116,Wednesday,KENNEDY STATION,Mechanical,16,2024-01-31,1,15
927,Wednesday,STEELES LOOP (MARTINGR,Security,28,2024-04-03,4,22
7,Saturday,BATHURST AND ROCKFORD,Investigation,18,2024-03-09,3,9
77,Thursday,MORNINGSIDE AND WINDER,General Delay,30,2024-02-15,2,17
902,Friday,WARDEN STATION,Mechanical,20,2024-01-19,1,15
37,Sunday,ISLINGTON AND STEELES,Operations - Operator,44,2024-02-18,2,7
36,Friday,FINCH WEST STATION,Security,14,2024-03-08,3,20
95,Saturday,YORK MILLS AND DON MIL,Mechanical,22,2024-06-01,6,8
40,Friday,JANE AND ST CLAIR,Mechanical,48,2024-06-28,6,11
952,Thursday,DIXON AND ROYAL YORK,Mechanical,20,2024-04-04,4,7
91,Wednesday,UNDERHILL AND CASSANDR,Operations - Operator,50,2024-07-31,7,13
14,Saturday,CHAPLIN CRES AND EGLIN,Security,30,2024-03-30,3,22
130,Wednesday,MCCOWAN AND SHEPPARD E,Mechanical,50,2024-09-25,9,12
53,Monday,PASSMORE AND MORNINGSI,Operations - Operator,19,2024-03-11,3,9
85,Sunday,VICTORIA PARK AND SHEP,Mechanical,16,2024-03-03,3,15
929,Saturday,SPRINGHURST LOOP,Collision - TTC,16,2024-09-21,9,23
108,Wednesday,KEELE AND ST. REGIS,General Delay,41,2024-02-14,2,17
14,Monday,CHAPLIN AND AVENUE,Diversion,28,2024-04-22,4,16
939,Tuesday,FINCH AND DON MILLS,Collision - TTC,28,2024-07-30,7,10
900,Tuesday,KIPLING STATION,Vision,20,2024-05-28,5,6
36,Wednesday,HUMBER COLLEGE AND FIN,Mechanical,12,2024-01-24,1,14
